                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4857,                 14.558,                  3.296,                0.00752,                0.00097,                0.00451,                0.00045,                 5.6805,                 8.8487,                 5.6829,                  0.002,                  0.002,                  0.002
                      2,                 5.4721,                 15.234,                 5.1332,                0.00752,                0.00097,                0.00451,                0.00045,                    nan,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      3,                 5.1466,                 13.712,                 4.7298,                  1e-05,                0.00451,                      0,                      0,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      4,                 4.7832,                 12.769,                  4.427,                0.00042,                0.01983,                0.00025,                0.00011,                 5.7434,                  110.1,                 8.4376,              0.0018812,              0.0018812,              0.0018812
                      5,                 4.6559,                 11.611,                 4.2489,                0.00316,                0.07519,                0.00561,                0.00207,                  5.053,                 23.567,                 5.3844,              0.0018416,              0.0018416,              0.0018416
                      6,                 4.2965,                 10.749,                 4.0903,                0.01167,                0.00519,                0.00466,                 0.0019,                 4.6598,                    inf,                 4.9585,               0.001802,               0.001802,               0.001802
                      7,                 4.1593,                 10.326,                 3.9907,                0.16568,                0.00752,                0.00877,                0.00489,                 4.5923,                 11.639,                 4.9065,              0.0017624,              0.0017624,              0.0017624
                      8,                 4.1092,                 9.5318,                 3.9624,                0.22251,                0.01203,                0.01266,                0.00669,                 4.3517,                 12.627,                 4.4163,              0.0017228,              0.0017228,              0.0017228
                      9,                 4.0295,                 9.0875,                 3.8066,                0.33041,                0.01353,                0.01443,                0.00788,                 4.0417,                 8.1966,                 3.8451,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.9275,                 8.8888,                 3.7636,                0.17797,                0.00902,                0.01841,                0.00921,                 3.9302,                 7.6347,                 3.7504,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.8916,                 8.5573,                 3.6621,                0.16639,                0.01805,                0.02011,                0.01095,                  3.816,                 7.5961,                 3.6387,               0.001604,               0.001604,               0.001604
                     12,                 3.7928,                 8.2201,                 3.6116,                0.16851,                0.01291,                0.02259,                0.01268,                 3.8188,                 7.6597,                 3.7787,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.7116,                 8.0698,                 3.5681,                 0.2747,                0.02509,                0.02759,                0.01261,                 3.7806,                 7.4251,                  3.671,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.7097,                 7.9367,                 3.5447,                0.29162,                0.02765,                0.03056,                0.01594,                 3.7361,                 7.0551,                 3.6086,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.6274,                 7.7109,                 3.4728,                0.28813,                0.03346,                0.03026,                0.01642,                 3.6412,                 7.0326,                 3.5934,              0.0014456,              0.0014456,              0.0014456
                     16,                 3.6011,                 7.4961,                 3.3988,                0.30782,                0.03566,                0.03658,                0.01957,                 3.5761,                 6.7624,                 3.4423,               0.001406,               0.001406,               0.001406
                     17,                 3.5746,                 7.4248,                 3.4023,                0.41737,                0.03778,                0.04009,                0.02197,                 3.6148,                 6.8155,                 3.4377,              0.0013664,              0.0013664,              0.0013664
