                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6741,                 13.936,                 3.5083,                      0,                      0,                      0,                      0,                  2.513,                 8.5191,                 2.4343,                0.06962,                0.00062,                0.00062
                      2,                 3.2418,                  12.94,                 3.1404,                0.01316,                0.01619,                0.01743,                0.01123,                 3.1383,                 8.6493,                 2.8026,               0.038235,              0.0012351,              0.0012351
                      3,                 3.0978,                 12.365,                 2.8966,                0.90776,                0.01619,                0.02643,                0.01076,                  3.397,                 8.4475,                 3.0751,              0.0068248,              0.0018248,              0.0018248
                      4,                 2.9781,                 12.284,                 2.9482,                 0.6189,                0.03457,                0.03212,                0.01506,                 3.6726,                 7.5125,                 3.2259,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.1082,                  11.83,                 3.0713,                0.69223,                0.05327,                0.05054,                0.02487,                 3.5468,                 7.0326,                 3.1384,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.0364,                 11.314,                 2.9742,                0.76206,                0.06137,                0.05165,                0.02718,                 3.7411,                  6.947,                 3.2339,               0.001802,               0.001802,               0.001802
                      7,                 3.0769,                 11.457,                 2.9965,                0.68921,                0.07875,                0.04502,                0.02414,                 3.5176,                 6.6742,                  3.185,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.0723,                 10.648,                 2.9944,                0.74653,                0.06354,                0.04459,                0.02253,                  3.576,                 6.5364,                 3.2688,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.0762,                 10.649,                 3.0131,                 0.7433,                0.07471,                 0.0476,                0.02467,                 3.8021,                 6.4251,                 3.4558,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.9952,                 11.142,                 2.9951,                0.75505,                0.10241,                 0.0584,                0.02718,                 3.6868,                 6.0329,                 3.2732,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.9581,                 10.204,                 2.9026,                0.74825,                0.07956,                0.06024,                0.02595,                 3.6903,                 6.1646,                 3.3072,               0.001604,               0.001604,               0.001604
                     12,                 2.9537,                 10.187,                  2.985,                0.74983,                0.09756,                0.06819,                0.03119,                 3.6764,                 6.0202,                 3.2765,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.9811,                 10.227,                 2.9148,                0.75421,                0.07468,                0.07207,                0.03927,                 3.5374,                 5.9678,                 3.1949,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.9439,                 9.8364,                 2.9111,                  0.768,                0.07461,                 0.0672,                0.03758,                 3.2868,                 5.8229,                 2.9692,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.8883,                 9.7144,                 2.8654,                0.76299,                 0.0959,                0.06594,                0.03627,                 3.6243,                 5.9031,                  3.203,              0.0014456,              0.0014456,              0.0014456
                     16,                  2.837,                 9.4315,                 2.8188,                 0.7695,                0.10597,                0.07271,                0.03858,                 3.2919,                 5.7324,                 2.9795,               0.001406,               0.001406,               0.001406
                     17,                 2.8676,                  9.343,                  2.815,                0.76534,                0.08674,                0.08599,                0.03942,                 3.5222,                 5.9375,                 3.0856,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.8084,                 9.3601,                 2.7711,                0.76379,                0.09055,                0.07526,                 0.0392,                 3.3174,                 5.8943,                 2.9568,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.7934,                 9.5905,                 2.7678,                0.78714,                0.08108,                0.09624,                0.05086,                  3.208,                 5.7303,                 2.8649,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.7016,                 9.5772,                  2.663,                0.74819,                 0.1168,                0.11127,                0.05909,                 3.2262,                 5.6029,                  2.868,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.7626,                 9.0219,                 2.7684,                0.73429,                0.11663,                0.10634,                0.05386,                 3.4081,                  5.691,                 3.0481,               0.001208,               0.001208,               0.001208
                     22,                 2.7574,                 8.8076,                 2.7532,                0.73914,                0.10469,                0.10384,                0.05413,                 3.4272,                 5.7179,                 3.0656,              0.0011684,              0.0011684,              0.0011684
