                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1897,                 11.425,                 2.9544,                      0,                      0,                      0,                      0,                 3.4219,                 9.0926,                 3.3721,                0.06962,                0.00062,                0.00062
                      2,                 3.7315,                 9.0661,                 3.2886,                0.17822,                0.01215,                0.00809,                0.00309,                 3.9041,                 10.676,                 5.5267,               0.038235,              0.0012351,              0.0012351
                      3,                 3.7973,                 8.4695,                 3.3317,                0.00979,                 0.0967,                0.00756,                0.00249,                  4.174,                 57.269,                 4.9851,              0.0068248,              0.0018248,              0.0018248
                      4,                 3.7375,                 8.2157,                 3.4511,                0.13387,                0.02165,                0.00444,                0.00234,                 4.7906,                 130.43,                 6.1239,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.7298,                  7.794,                 3.4666,                0.22436,                0.08898,                0.01421,                0.00593,                 3.9591,                 16.476,                 4.2055,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.6514,                 7.5131,                 3.3537,                 0.2975,                0.07162,                0.02127,                0.01136,                 3.9832,                 15.481,                  3.999,               0.001802,               0.001802,               0.001802
                      7,                  3.658,                 7.5402,                 3.3743,                0.32796,                0.04819,                0.00998,                0.00475,                   3.75,                 23.357,                 3.7487,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.6636,                 7.2272,                 3.3418,                0.44239,                0.05417,                 0.0159,                0.00763,                 3.8407,                 11.208,                 3.7456,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.6002,                 6.9484,                 3.3033,                0.39596,                0.05186,                  0.032,                0.01567,                 3.6406,                 7.2951,                 3.4955,              0.0016832,              0.0016832,              0.0016832
                     10,                  3.445,                 6.7862,                 3.1854,                 0.5678,                0.05361,                0.03217,                0.01547,                 3.5564,                 8.5062,                 3.3732,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.4351,                 6.6118,                 3.1496,                0.63258,                 0.0592,                0.04774,                0.02573,                 3.5197,                 7.1032,                 3.3681,               0.001604,               0.001604,               0.001604
                     12,                  3.376,                 6.6254,                 3.1816,                0.56634,                0.08897,                0.05018,                0.02505,                   3.48,                 6.7658,                 3.3958,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.3681,                 6.5707,                 3.1835,                0.60748,                0.07653,                0.06874,                0.03486,                 3.5178,                 6.4472,                 3.3201,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.3305,                 6.3927,                 3.1214,                0.26737,                0.07001,                0.05391,                0.02947,                 3.4679,                 6.7134,                 3.2881,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.2428,                 6.2695,                 3.0943,                0.48882,                0.09581,                0.05637,                0.02701,                 3.4996,                 7.3535,                 3.3484,              0.0014456,              0.0014456,              0.0014456
                     16,                 3.1844,                 6.1363,                 3.0216,                0.42919,                0.10113,                0.06584,                0.03769,                 3.4585,                 6.3204,                 3.2903,               0.001406,               0.001406,               0.001406
                     17,                 3.3132,                 6.1293,                 3.0875,                0.41992,                0.09328,                0.07611,                0.04126,                 3.3382,                   6.16,                 3.1537,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.2321,                 6.0207,                 3.0076,                0.49738,                0.08796,                 0.0684,                0.04243,                 3.4237,                 6.2166,                 3.1977,              0.0013268,              0.0013268,              0.0013268
                     19,                 3.1937,                 6.1262,                 3.0394,                0.43304,                 0.1015,                0.07096,                0.04298,                 3.4053,                 6.0771,                 3.3162,              0.0012872,              0.0012872,              0.0012872
                     20,                 3.1722,                  5.902,                 2.9956,                0.59896,                0.09541,                0.07265,                0.04527,                 3.3388,                  5.928,                 3.1638,              0.0012476,              0.0012476,              0.0012476
                     21,                 3.1241,                 5.7468,                 2.9407,                0.65965,                0.07016,                0.09703,                0.05807,                  3.403,                  6.028,                 3.1921,               0.001208,               0.001208,               0.001208
                     22,                 3.0431,                 5.7374,                 2.9333,                0.55738,                0.07927,                0.07705,                0.04738,                 3.2576,                 5.9403,                 3.0889,              0.0011684,              0.0011684,              0.0011684
                     23,                 3.0275,                  5.641,                 2.9028,                0.32962,                0.08432,                0.08595,                0.05026,                 3.3225,                 6.0217,                 3.1332,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.9768,                 5.5682,                 2.8563,                0.48417,                0.11774,                 0.0868,                0.05337,                 3.2699,                 5.8476,                 3.0737,              0.0010892,              0.0010892,              0.0010892
                     25,                 3.0135,                 5.4559,                 2.8987,                0.74103,                0.07534,                0.09425,                0.05899,                 3.3598,                 6.0032,                 3.1785,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.9799,                 5.3673,                 2.8624,                0.46846,                0.10409,                0.08203,                0.04779,                 3.3086,                 6.1152,                 3.2056,                0.00101,                0.00101,                0.00101
                     27,                 2.9333,                 5.3588,                 2.8541,                0.47026,                0.09049,                0.07687,                0.04707,                 3.3956,                 6.1051,                 3.1832,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.8741,                 5.2539,                 2.7871,                0.54909,                0.10711,                0.07502,                0.04768,                 3.3136,                 5.9418,                  3.159,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.9097,                 5.2447,                 2.8466,                 0.3656,                0.12601,                0.09433,                0.05942,                  3.291,                 5.7039,                 3.2676,              0.0008912,              0.0008912,              0.0008912
