                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6741,                 13.936,                 3.5083,                      0,                      0,                      0,                      0,                  2.513,                 8.5191,                 2.4343,                0.06962,                0.00062,                0.00062
                      2,                 3.2482,                 12.914,                 3.1346,                0.00679,                0.01619,                 0.0149,                0.01036,                  3.195,                 8.5558,                 2.7639,               0.038254,              0.0012538,              0.0012538
                      3,                 3.1669,                 12.332,                   2.87,                0.00648,                0.23993,                0.02862,                 0.0124,                   3.45,                 8.3919,                 3.0525,              0.0068812,              0.0018812,              0.0018812
                      4,                  3.022,                 12.234,                 2.9247,                0.98172,                0.01619,                0.03579,                0.01857,                 3.5255,                 7.4755,                 3.0781,              0.0019703,              0.0019703,              0.0019703
                      5,                 3.1021,                 11.732,                 3.0182,                0.79774,                 0.0411,                0.06065,                0.03167,                 3.5027,                 6.8529,                 3.0244,              0.0019604,              0.0019604,              0.0019604
                      6,                 3.0393,                 11.275,                 2.9327,                0.75422,                0.06479,                0.06124,                0.03071,                  3.602,                 6.8528,                 3.1742,              0.0019505,              0.0019505,              0.0019505
                      7,                 3.0612,                 11.331,                 2.9615,                0.63529,                0.09016,                0.05662,                0.02716,                 3.6736,                 6.8728,                 3.3415,              0.0019406,              0.0019406,              0.0019406
                      8,                  3.088,                 10.583,                 2.9768,                0.69963,                0.06949,                0.06685,                0.03493,                 3.6104,                 6.3641,                 3.2471,              0.0019307,              0.0019307,              0.0019307
                      9,                 3.0833,                 10.593,                 3.0054,                0.80794,                0.06139,                0.06261,                0.03507,                  3.613,                 6.4469,                 3.2319,              0.0019208,              0.0019208,              0.0019208
                     10,                 3.0057,                 10.989,                 2.9823,                0.74994,                0.08366,                0.05832,                0.03408,                 3.4441,                  6.162,                 3.1183,              0.0019109,              0.0019109,              0.0019109
                     11,                 3.0154,                  10.21,                 2.9541,                0.74385,                0.07659,                0.05843,                 0.0279,                 3.6499,                 6.0624,                 3.2916,               0.001901,               0.001901,               0.001901
                     12,                 2.9545,                 10.063,                  2.948,                0.76504,                0.07865,                0.06442,                0.03028,                 3.6059,                 6.0764,                 3.2314,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.9891,                 10.155,                 2.8887,                0.75366,                0.06935,                0.06268,                0.02979,                 3.5909,                  6.005,                 3.1705,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.9312,                 9.7741,                 2.8866,                0.75474,                0.09572,                0.07976,                0.04245,                 3.3857,                  5.743,                 3.0056,              0.0018713,              0.0018713,              0.0018713
                     15,                  2.958,                 9.6736,                 2.8898,                0.75768,                0.09085,                0.07634,                0.03714,                 3.6733,                  5.904,                 3.2046,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.8591,                 9.3916,                  2.794,                0.76433,                0.09643,                0.08194,                0.04702,                 3.4903,                 5.9132,                 3.0778,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.9194,                 9.3037,                 2.8003,                0.78376,                0.09452,                 0.0964,                0.04933,                 3.5794,                 5.7411,                 3.1382,              0.0018416,              0.0018416,              0.0018416
