                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6065,                 5.2778,                 1.5273,                      0,                      0,                      0,                      0,                 2.5624,                 4.3788,                  2.312,                  0.002,                  0.002,                  0.002
                      2,                 2.3644,                 5.3594,                 2.2722,                0.00062,                0.06986,                0.00144,                0.00037,                  2.875,                 14.218,                 14.857,              0.0019604,              0.0019604,              0.0019604
                      3,                  2.236,                 4.9226,                  2.169,                0.00252,                0.14169,                0.00462,                0.00243,                  2.335,                 8.2149,                 3.0721,              0.0019208,              0.0019208,              0.0019208
                      4,                 2.0942,                 4.6466,                 2.0836,                0.00394,                0.17942,                0.00617,                0.00187,                 2.2937,                  4.425,                 3.1824,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0135,                 4.4192,                 2.0626,                0.46348,                0.03438,                0.02527,                0.01297,                 2.1188,                 3.9588,                 2.4767,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9931,                 4.2179,                 1.9951,                0.39381,                0.04627,                0.01769,                0.00945,                  2.225,                  6.266,                 2.2791,               0.001802,               0.001802,               0.001802
                      7,                 1.9271,                 4.0534,                 1.9375,                0.57367,                0.05262,                0.04832,                0.01911,                 2.0218,                   4.15,                 2.1385,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8984,                 3.9994,                 1.9355,                0.62791,                0.04836,                0.03629,                0.01925,                 1.9544,                   3.73,                 2.0378,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8158,                 3.7708,                 1.8532,                0.58217,                0.08116,                0.05633,                0.02623,                 1.8887,                 3.4076,                 2.0039,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.7951,                 3.6766,                  1.826,                0.73003,                0.04716,                0.05331,                0.02755,                 1.8999,                 3.7738,                 2.0239,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8342,                 3.5648,                 1.8175,                0.61991,                0.07793,                0.05306,                0.02664,                  1.894,                 3.3018,                 1.9448,               0.001604,               0.001604,               0.001604
                     12,                 1.7452,                 3.4165,                 1.7597,                0.70415,                0.07425,                0.06167,                0.03193,                  1.806,                 3.2081,                 1.8552,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.7284,                 3.3074,                 1.7705,                 0.6433,                0.07154,                0.06399,                 0.0375,                 1.7994,                 3.1563,                 1.8573,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6881,                 3.2309,                 1.7079,                0.60741,                0.07793,                 0.0744,                0.03905,                 1.8237,                 3.1465,                 1.8587,              0.0014852,              0.0014852,              0.0014852
                     15,                  1.657,                 3.1373,                 1.6797,                 0.5846,                0.07893,                0.06358,                0.03291,                 1.7778,                 3.1056,                 1.7957,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.669,                 3.1787,                 1.6779,                0.42777,                 0.1026,                0.06395,                0.02962,                 1.7963,                 3.1096,                 1.7697,               0.001406,               0.001406,               0.001406
                     17,                 1.6518,                 3.0686,                 1.6803,                0.63305,                0.09459,                0.06973,                0.03446,                 1.7543,                 2.9895,                 1.7401,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.6315,                 3.0666,                 1.6686,                0.65437,                0.06622,                0.07655,                0.04179,                 1.7376,                 2.9915,                 1.7495,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.6145,                 3.0497,                 1.6388,                0.53165,                0.08338,                0.06906,                0.03607,                  1.741,                 3.0724,                 1.7791,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.586,                 3.0437,                  1.649,                0.70673,                0.09847,                0.09009,                0.04618,                 1.7039,                 2.9299,                   1.76,              0.0012476,              0.0012476,              0.0012476
