epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.97176,2.00449,5.10558,1.88649,0,0,0,0,1.23964,4.22749,1.21795,0.06962,0.00062,0.00062
2,14.1385,1.73612,5.03064,1.72383,0,0,0,0,1.52891,4.27733,1.38893,0.0382351,0.00123505,0.00123505
3,20.7786,1.61283,4.7979,1.58465,0.01191,0.16434,0.01759,0.00675,1.78092,4.26049,1.59034,0.00682476,0.00182476,0.00182476
4,26.7044,1.59791,4.62253,1.53991,0.69886,0.02733,0.03919,0.0114,1.98202,3.72021,1.79174,0.0018812,0.0018812,0.0018812
5,33.2962,1.67666,4.31361,1.62205,0.73247,0.08461,0.07161,0.03111,2.01097,3.45068,1.70732,0.0018416,0.0018416,0.0018416
6,39.8496,1.68832,4.13566,1.61178,0.78934,0.09852,0.09217,0.04359,2.02585,3.37449,1.74206,0.001802,0.001802,0.001802
7,46.2772,1.63287,3.9956,1.58592,0.75615,0.1154,0.08767,0.03836,1.97932,3.17855,1.69943,0.0017624,0.0017624,0.0017624
8,53.6759,1.60486,3.94795,1.58108,0.78431,0.1172,0.10358,0.04537,1.98144,2.89877,1.67448,0.0017228,0.0017228,0.0017228
9,60.6782,1.5913,3.78241,1.55603,0.81041,0.10228,0.1157,0.05333,1.88899,2.84882,1.64956,0.0016832,0.0016832,0.0016832
10,67.7285,1.58099,3.72994,1.5538,0.80322,0.11829,0.12588,0.05898,1.83211,2.79871,1.63214,0.0016436,0.0016436,0.0016436
11,75.1897,1.61226,3.71728,1.57522,0.79769,0.11793,0.14224,0.06094,1.80372,2.74908,1.60089,0.001604,0.001604,0.001604
12,82.1091,1.58121,3.60081,1.52858,0.69792,0.13106,0.15195,0.06206,1.82981,2.73496,1.63115,0.0015644,0.0015644,0.0015644
13,88.511,1.58181,3.5815,1.56777,0.63968,0.15884,0.15386,0.06971,1.85221,2.69247,1.59351,0.0015248,0.0015248,0.0015248
14,94.6301,1.51553,3.52669,1.50886,0.78867,0.15561,0.1547,0.07171,1.82024,2.59904,1.57002,0.0014852,0.0014852,0.0014852
15,101.038,1.5387,3.43621,1.51736,0.772,0.17232,0.16113,0.07656,1.73598,2.57046,1.54178,0.0014456,0.0014456,0.0014456
16,107.148,1.51206,3.35119,1.51801,0.72472,0.1831,0.16374,0.07123,1.93672,2.64914,1.6839,0.001406,0.001406,0.001406
17,113.24,1.52914,3.28899,1.50219,0.83057,0.17893,0.18486,0.08251,1.85358,2.57179,1.62212,0.0013664,0.0013664,0.0013664
18,119.582,1.4872,3.29475,1.49172,0.77688,0.14348,0.16434,0.08194,1.76025,2.63678,1.58227,0.0013268,0.0013268,0.0013268
19,125.49,1.49465,3.32636,1.49483,0.81325,0.15645,0.16732,0.07505,1.83728,2.58534,1.6274,0.0012872,0.0012872,0.0012872
20,131.468,1.46764,3.20916,1.47603,0.625,0.18137,0.1316,0.06435,1.74661,2.57141,1.52583,0.0012476,0.0012476,0.0012476
21,137.813,1.45649,3.15725,1.46227,0.87809,0.14056,0.15855,0.07571,1.80224,2.55698,1.60538,0.001208,0.001208,0.001208
22,144.264,1.49296,3.17726,1.47604,0.79196,0.16703,0.17734,0.07899,1.84411,2.55148,1.61511,0.0011684,0.0011684,0.0011684
23,150.565,1.44164,3.20122,1.44039,0.74382,0.19124,0.18476,0.09365,1.73193,2.45437,1.54686,0.0011288,0.0011288,0.0011288
24,156.949,1.43999,3.17919,1.4514,0.6921,0.1665,0.1697,0.08329,1.76668,2.47169,1.56232,0.0010892,0.0010892,0.0010892
25,163.168,1.44847,3.02066,1.46396,0.60379,0.214,0.17561,0.09208,1.70557,2.44415,1.51879,0.0010496,0.0010496,0.0010496
26,169.231,1.39634,3.08371,1.42769,0.51244,0.21074,0.18021,0.08751,1.75585,2.46829,1.54778,0.00101,0.00101,0.00101
27,176.204,1.41193,2.98616,1.41896,0.62498,0.22747,0.19046,0.08307,1.84712,2.47836,1.62118,0.0009704,0.0009704,0.0009704
28,182.7,1.43088,2.98313,1.43738,0.69152,0.20048,0.18626,0.08998,1.78828,2.41405,1.56438,0.0009308,0.0009308,0.0009308
29,190.082,1.38539,3.05313,1.3994,0.5508,0.20516,0.183,0.09675,1.76462,2.46382,1.53671,0.0008912,0.0008912,0.0008912
30,197.363,1.42375,2.9132,1.41428,0.74328,0.17341,0.18945,0.10143,1.69063,2.37673,1.48658,0.0008516,0.0008516,0.0008516
31,204.221,1.41143,2.86636,1.42509,0.75504,0.17975,0.19327,0.10083,1.74217,2.39833,1.52145,0.000812,0.000812,0.000812
32,212.266,1.38009,2.87151,1.39736,0.79011,0.1491,0.18687,0.1017,1.69731,2.43673,1.49411,0.0007724,0.0007724,0.0007724
33,220.092,1.36437,2.81529,1.39106,0.64679,0.20217,0.19953,0.09922,1.74738,2.39893,1.53548,0.0007328,0.0007328,0.0007328
34,226.891,1.37258,2.79735,1.38892,0.75612,0.19279,0.19021,0.10271,1.67394,2.36835,1.48878,0.0006932,0.0006932,0.0006932
35,234.889,1.35748,2.71387,1.37023,0.72065,0.19343,0.20707,0.10875,1.72142,2.33709,1.53534,0.0006536,0.0006536,0.0006536
36,242.196,1.35745,2.77733,1.40273,0.6847,0.18862,0.20506,0.11107,1.70215,2.30733,1.50459,0.000614,0.000614,0.000614
37,249.818,1.34849,2.78472,1.37641,0.60028,0.20462,0.20148,0.10034,1.74565,2.37702,1.54804,0.0005744,0.0005744,0.0005744
38,257.543,1.33233,2.70881,1.36099,0.68397,0.1744,0.18938,0.10076,1.73073,2.40857,1.52251,0.0005348,0.0005348,0.0005348
39,265.18,1.35829,2.74342,1.37198,0.57732,0.20319,0.20043,0.10608,1.73372,2.42473,1.52323,0.0004952,0.0004952,0.0004952
40,273.085,1.35653,2.75889,1.38571,0.63707,0.18044,0.1994,0.10668,1.70485,2.41722,1.50356,0.0004556,0.0004556,0.0004556
41,291.358,1.31763,2.75221,1.34417,0.56816,0.23496,0.20919,0.10747,1.70386,2.39724,1.51382,0.000416,0.000416,0.000416
42,298.167,1.27005,2.67573,1.32952,0.54514,0.22952,0.19829,0.10228,1.71135,2.36486,1.52131,0.0003764,0.0003764,0.0003764
43,305.566,1.27421,2.66629,1.3108,0.48952,0.21437,0.19936,0.10607,1.67464,2.35047,1.50176,0.0003368,0.0003368,0.0003368
44,311.752,1.28585,2.72589,1.35168,0.68024,0.19388,0.20088,0.1116,1.66253,2.35523,1.4891,0.0002972,0.0002972,0.0002972
45,319.473,1.27364,2.67403,1.31941,0.56924,0.20615,0.1991,0.10709,1.68879,2.35352,1.51038,0.0002576,0.0002576,0.0002576
46,326.258,1.27485,2.6436,1.32713,0.6808,0.19991,0.19497,0.10528,1.64495,2.33729,1.48008,0.000218,0.000218,0.000218
47,333.659,1.24335,2.64165,1.31016,0.68424,0.19886,0.19957,0.10475,1.65393,2.33294,1.4848,0.0001784,0.0001784,0.0001784
48,340.305,1.27429,2.59336,1.31758,0.53908,0.2257,0.20041,0.10632,1.6795,2.34335,1.5052,0.0001388,0.0001388,0.0001388
49,347.379,1.24417,2.60178,1.26898,0.53044,0.22088,0.19981,0.10551,1.68739,2.33568,1.50854,9.92e-05,9.92e-05,9.92e-05
50,354.146,1.24775,2.59189,1.29465,0.46666,0.24053,0.20084,0.10601,1.67341,2.33939,1.49937,5.96e-05,5.96e-05,5.96e-05
