epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.746,1.656,5.50091,1.57458,0,0,0,0,2.24623,12.2342,1.48122,0.07844,0.00044,0.00044
2,260.595,1.96857,4.72935,1.75502,0.23393,0.00549,0.0109,0.0044,1.92563,10.3186,1.35786,0.0558822,0.00088218,0.00088218
3,401.075,1.86486,4.46236,1.72514,0.41258,0.01623,0.00644,0.00373,2.09229,19.6366,1.68964,0.0333061,0.00130614,0.00130614
4,555.044,1.97193,4.06509,1.87094,0.19712,0.00275,0.00197,0.00081,2.03467,1472.66,1.62339,0.0107119,0.00171189,0.00171189
5,707.9,2.06485,4.22038,1.866,0.00622,0.04566,0.00682,0.00363,2.122,2762.52,1.68813,0.0018416,0.0018416,0.0018416
6,872.515,2.03683,4.02807,1.86842,0.32137,0.01088,0.0023,0.00065,2.09428,4851.92,1.48799,0.001802,0.001802,0.001802
7,1031.9,1.98159,4.05305,1.80797,0.14831,0.03691,0.01722,0.00553,2.03819,1980.09,1.52606,0.0017624,0.0017624,0.0017624
8,1179,1.85633,3.97567,1.74418,0.32289,0.02577,0.00662,0.00256,1.95528,886.412,1.62341,0.0017228,0.0017228,0.0017228
9,1334.87,1.86336,3.91605,1.76525,0.34988,0.01945,0.00591,0.00211,1.92757,455.025,1.43821,0.0016832,0.0016832,0.0016832
10,1496.53,1.99295,3.81911,1.87112,0.40331,0.01113,0.006,0.00383,1.82551,13.6985,1.24655,0.0016436,0.0016436,0.0016436
11,1653.69,1.8531,3.58122,1.75686,0.35524,0.02445,0.01234,0.00553,1.777,8.12998,1.17464,0.001604,0.001604,0.001604
12,1817.8,1.85704,3.59857,1.7548,0.45064,0.00804,0.0065,0.00279,1.76638,8.01882,1.17525,0.0015644,0.0015644,0.0015644
13,1986.04,1.79469,3.56706,1.75786,0.51584,0.01039,0.01206,0.00574,1.74448,7.97778,1.14139,0.0015248,0.0015248,0.0015248
14,2143.89,1.7661,3.46701,1.73456,0.32932,0.0196,0.01141,0.00704,1.75212,10.9139,1.15323,0.0014852,0.0014852,0.0014852
15,2300.2,1.68311,3.54725,1.62825,0.70209,0.01839,0.0157,0.0085,1.70837,7.96441,1.1096,0.0014456,0.0014456,0.0014456
16,2461.13,1.68271,3.36343,1.65947,0.51681,0.01773,0.01866,0.00965,1.59741,7.25773,1.06439,0.001406,0.001406,0.001406
17,2629.34,1.67601,3.28232,1.66599,0.73876,0.00966,0.01191,0.00582,1.67698,7.30691,1.08714,0.0013664,0.0013664,0.0013664
18,2793.75,1.71978,3.23703,1.5938,0.49255,0.02017,0.0248,0.01348,1.56247,6.80839,1.04405,0.0013268,0.0013268,0.0013268
19,2955.86,1.68135,3.3559,1.62901,0.02639,0.05381,0.0235,0.01265,1.58994,6.57436,1.06326,0.0012872,0.0012872,0.0012872
20,3113.1,1.71262,3.26949,1.67991,0.23149,0.04,0.02678,0.01628,1.53151,6.49112,1.01546,0.0012476,0.0012476,0.0012476
21,3291.95,1.68583,3.2065,1.59229,0.62922,0.01785,0.01812,0.01121,1.52335,6.48788,1.02358,0.001208,0.001208,0.001208
22,3472.48,1.6474,3.29812,1.57694,0.45124,0.02952,0.02937,0.01748,1.48593,6.05978,0.99516,0.0011684,0.0011684,0.0011684
23,3668.09,1.56047,3.3621,1.54246,0.29248,0.03944,0.04081,0.0244,1.55499,5.97607,1.04107,0.0011288,0.0011288,0.0011288
24,3851.64,1.62966,3.26418,1.59749,0.41037,0.03841,0.05308,0.03734,1.55824,6.10905,1.07877,0.0010892,0.0010892,0.0010892
