epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.725,1.51221,4.77192,1.45675,0.0003,0.07212,0.00252,0.00115,2.70974,10.732,1.5071,0.0902,0.0002,0.0002
2,123.32,1.71037,4.11818,1.57182,0.00027,0.02885,0.00404,0.00056,2.23001,10.1389,1.5421,0.0794117,0.000411684,0.000411684
3,185.979,1.73589,3.69086,1.60692,0.00294,0.02404,0.00226,0.00026,2.43742,9.86751,1.64878,0.0686147,0.000614656,0.000614656
4,243.426,1.70826,3.64269,1.57775,0.00095,0.04607,0.00951,0.0046,2.15941,9.73686,1.56255,0.0578089,0.000808916,0.000808916
5,302.069,1.75154,3.36811,1.6757,0.40358,0.02019,0.00095,0.00034,2.30109,11.3588,1.85039,0.0469945,0.000994464,0.000994464
6,363.109,1.71474,3.3861,1.64351,0.41128,0.02692,0.00693,0.00227,1.99139,9.85654,1.41868,0.0361713,0.0011713,0.0011713
7,425.446,1.71314,3.35284,1.59071,0.41786,0.01538,0.01035,0.00253,2.4612,28.5825,1.47339,0.0253394,0.00133942,0.00133942
8,487.716,1.72699,3.22693,1.62843,0.10479,0.02972,0.00652,0.00284,1.97551,272.007,1.51188,0.0144988,0.00149884,0.00149884
9,550.079,1.60936,3.12702,1.56771,0.10708,0.02972,0.01273,0.00323,1.90673,233.338,1.50618,0.00364954,0.00164954,0.00164954
10,613.061,1.63038,3.06817,1.65345,0.21157,0.01678,0.01192,0.00357,1.93524,124.634,1.31366,0.0016436,0.0016436,0.0016436
11,679.292,1.705,3.0093,1.66676,0.10484,0.03986,0.00795,0.00251,1.89124,38.4449,1.30115,0.001604,0.001604,0.001604
12,742.165,1.63974,3.00485,1.57153,0.61408,0.01154,0.00435,0.00155,2.05346,41.1158,1.40232,0.0015644,0.0015644,0.0015644
13,807.572,1.63314,2.85414,1.57283,0.50553,0.01538,0.00204,0.00077,1.9617,31.6226,1.29163,0.0015248,0.0015248,0.0015248
14,867.36,1.59694,2.86719,1.59735,0.31683,0.11923,0.01299,0.00218,1.90776,18.3246,1.1807,0.0014852,0.0014852,0.0014852
15,930.954,1.65474,2.8883,1.58827,0.24149,0.13287,0.02265,0.00573,1.86653,11.7438,1.19435,0.0014456,0.0014456,0.0014456
16,1001.86,1.6155,2.74948,1.54466,0.61975,0.01538,0.01929,0.007,1.8421,8.85429,1.17226,0.001406,0.001406,0.001406
17,1078.85,1.61228,2.72005,1.53322,0.61436,0.01538,0.00872,0.00423,2.08417,8.51848,1.28079,0.0013664,0.0013664,0.0013664
18,1149.14,1.58589,2.72934,1.54917,0.34167,0.01981,0.01258,0.00596,2.18831,7.80518,1.37539,0.0013268,0.0013268,0.0013268
19,1219.64,1.52454,2.60086,1.53234,0.31611,0.01538,0.01277,0.00571,1.89569,7.14983,1.19673,0.0012872,0.0012872,0.0012872
20,1286.13,1.53375,2.45617,1.48003,0.40938,0.00769,0.00719,0.003,1.81336,8.89013,1.12653,0.0012476,0.0012476,0.0012476
21,1355.12,1.47504,2.56126,1.47054,0.20976,0.01923,0.02649,0.01108,1.84173,7.97701,1.14461,0.001208,0.001208,0.001208
22,1425.2,1.43791,2.546,1.45279,0.01141,0.03596,0.01369,0.00524,1.86791,7.16313,1.15491,0.0011684,0.0011684,0.0011684
23,1498.41,1.41353,2.45903,1.41238,0.31195,0.01218,0.01353,0.00409,1.80603,6.52697,1.13492,0.0011288,0.0011288,0.0011288
24,1579.34,1.47568,2.45149,1.46638,0.50949,0.01154,0.00695,0.00183,1.79066,6.66718,1.15769,0.0010892,0.0010892,0.0010892
25,1663.64,1.36309,2.34312,1.43758,0.61114,0.01154,0.00351,0.00087,1.94013,7.09632,1.22238,0.0010496,0.0010496,0.0010496
26,1738.75,1.38372,2.21137,1.40854,0.01226,0.21474,0.0315,0.0119,1.95782,6.55909,1.26595,0.00101,0.00101,0.00101
27,1818.48,1.37925,2.20381,1.37715,0.01452,0.15321,0.0345,0.00712,1.99474,6.77035,1.27216,0.0009704,0.0009704,0.0009704
28,1895.76,1.32319,2.21094,1.3161,0.0083,0.14487,0.03207,0.00558,1.87756,6.50364,1.1786,0.0009308,0.0009308,0.0009308
29,1979.01,1.25633,2.04293,1.29502,0.26703,0.02972,0.02629,0.0116,1.84064,6.30797,1.18263,0.0008912,0.0008912,0.0008912
30,2054.22,1.27587,2.06024,1.30953,0.27679,0.02203,0.03019,0.01465,1.74854,6.50192,1.14822,0.0008516,0.0008516,0.0008516
31,2135.24,1.31168,2.06139,1.30836,0.01067,0.15321,0.02604,0.01757,1.70053,6.7151,1.09274,0.000812,0.000812,0.000812
32,2211.85,1.24554,1.94683,1.28924,0.02354,0.21469,0.03399,0.0242,1.74377,6.82589,1.11836,0.0007724,0.0007724,0.0007724
33,2297.96,1.2525,1.95971,1.28324,0.03746,0.16538,0.10641,0.08313,1.74303,6.84287,1.13483,0.0007328,0.0007328,0.0007328
34,2386.58,1.24311,1.87892,1.31399,0.0526,0.19872,0.04367,0.02151,1.75807,6.81866,1.15858,0.0006932,0.0006932,0.0006932
35,2468.26,1.2144,1.85759,1.30606,0.0188,0.25117,0.04594,0.01698,1.84154,6.43202,1.21522,0.0006536,0.0006536,0.0006536
36,2555.34,1.21727,1.78329,1.27029,0.34136,0.03269,0.04467,0.01776,1.87301,6.43622,1.21228,0.000614,0.000614,0.000614
37,2648.97,1.22893,2.13113,1.33944,0.4798,0.03269,0.04491,0.01856,1.88023,6.38656,1.21323,0.0005744,0.0005744,0.0005744
38,2720.47,1.11369,1.68301,1.24006,0.24182,0.11272,0.08617,0.02282,1.83314,6.38349,1.1781,0.0005348,0.0005348,0.0005348
39,2796.13,1.18634,1.71721,1.26329,0.31098,0.01154,0.0089,0.00337,1.78375,6.31697,1.15061,0.0004952,0.0004952,0.0004952
40,2870.72,1.08554,1.48958,1.1975,0.01021,0.19207,0.02041,0.00869,1.79654,6.25133,1.13801,0.0004556,0.0004556,0.0004556
41,2945.5,1.08368,1.57387,1.23524,0.00788,0.15705,0.01087,0.00337,1.735,6.26901,1.09828,0.000416,0.000416,0.000416
42,3020.25,1.04447,1.453,1.17695,0.02043,0.22541,0.03647,0.01153,1.75608,6.25471,1.11595,0.0003764,0.0003764,0.0003764
43,3100.82,1.01078,1.397,1.16363,0.02062,0.13406,0.03958,0.02176,1.79653,6.42586,1.13254,0.0003368,0.0003368,0.0003368
44,3177.05,1.05512,1.51058,1.16521,0.01763,0.13834,0.0243,0.0103,1.86733,6.42212,1.17188,0.0002972,0.0002972,0.0002972
45,3244.96,1.07065,1.4589,1.19414,0.03409,0.0653,0.03781,0.02033,1.8565,6.38683,1.17925,0.0002576,0.0002576,0.0002576
