                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.913,                 4.7349,                 1.8637,                0.00685,                0.11614,                0.00679,                0.00282,                 2.2435,                 4.2621,                 1.9361,                0.06962,                0.00062,                0.00062
                      2,                 1.9969,                 4.2998,                 1.9612,                 0.0004,                0.07522,                0.00354,                0.00091,                 2.3855,                 4.6289,                 2.8066,               0.038235,              0.0012351,              0.0012351
                      3,                 2.0542,                 4.0971,                 2.0214,                0.00226,                0.17203,                0.00548,                0.00292,                 2.7634,                 7.6013,                 3.5427,              0.0068248,              0.0018248,              0.0018248
                      4,                 2.0009,                 3.9794,                 2.0592,                0.59062,                0.02093,                0.01157,                0.00382,                 2.5034,                 5.0836,                 2.7927,              0.0018812,              0.0018812,              0.0018812
                      5,                   2.03,                 3.7989,                 2.0664,                0.22682,                0.09642,                0.01404,                0.00458,                 2.4834,                 14.171,                  2.738,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.9735,                  3.683,                 1.9786,                0.39376,                0.08404,                0.02186,                0.00715,                 2.3741,                 8.6548,                 2.3298,               0.001802,               0.001802,               0.001802
                      7,                 1.9275,                 3.6987,                 1.9653,                0.46513,                0.05913,                0.04055,                0.01609,                 2.2243,                 6.4733,                 2.1741,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9301,                 3.5127,                 1.9479,                0.47787,                 0.0848,                0.04499,                 0.0177,                 2.2853,                 3.8728,                 2.2162,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9154,                 3.4041,                 1.9543,                0.41363,                0.11125,                0.05559,                0.01868,                 2.2318,                 3.6339,                 2.1546,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8227,                 3.3572,                 1.8928,                0.50714,                  0.058,                0.04004,                0.01703,                 2.2739,                 4.2446,                 2.1553,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8518,                 3.3239,                 1.9002,                0.41935,                 0.0648,                 0.0433,                 0.0165,                 2.2155,                 3.5205,                 2.0928,               0.001604,               0.001604,               0.001604
                     12,                 1.8374,                 3.3512,                 1.9141,                0.63047,                0.06327,                0.03665,                0.01243,                 2.3717,                 3.5924,                 2.3264,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.8113,                 3.2572,                 1.9067,                0.54257,                  0.079,                0.06549,                  0.022,                 2.3417,                 3.3707,                 2.2316,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.826,                 3.1624,                 1.9096,                0.54577,                0.06494,                0.05742,                0.02363,                 2.1788,                 3.2999,                 2.0802,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8243,                  3.163,                 1.8826,                0.60674,                0.07463,                0.07735,                0.03543,                 2.1728,                 3.1537,                 2.0938,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.7551,                 3.0517,                 1.8367,                0.42445,                0.10559,                0.06775,                0.02981,                 2.1239,                 3.1689,                 2.0887,               0.001406,               0.001406,               0.001406
                     17,                 1.7858,                 3.0825,                 1.8372,                  0.422,                0.08878,                0.06115,                0.02417,                 2.2258,                 3.0831,                 2.0856,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7951,                 3.0729,                 1.8517,                0.49117,                0.13788,                0.08536,                0.03567,                 2.1786,                 3.0712,                 2.0778,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7549,                 3.0748,                 1.8772,                0.69531,                0.06692,                0.07985,                0.03717,                 2.0293,                   3.08,                 1.9879,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7068,                 3.0143,                 1.8056,                0.73036,                0.07109,                0.07777,                0.03454,                 2.1478,                 2.9884,                 2.0438,              0.0012476,              0.0012476,              0.0012476
