                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5534,                 4.6075,                 1.5287,                0.00011,                0.03584,                0.00133,                0.00046,                 2.0364,                 4.5121,                 2.1249,                0.06962,                0.00062,                0.00062
                      2,                 1.7819,                  4.145,                 1.7132,                0.00161,                0.07042,                0.00291,                0.00109,                 1.7575,                 4.5121,                 2.1539,               0.038235,              0.0012351,              0.0012351
                      3,                 1.8485,                 3.9069,                 1.7748,                0.50356,                0.02619,                0.01938,                0.00976,                  1.851,                 4.2247,                 2.0812,              0.0068248,              0.0018248,              0.0018248
                      4,                 1.8258,                 3.8348,                 1.7845,                0.43584,                0.07152,                0.01616,                 0.0096,                 1.9014,                 8.1237,                 2.0559,              0.0018812,              0.0018812,              0.0018812
                      5,                  1.856,                 3.6374,                 1.8351,                 0.3001,                0.09982,                 0.0383,                0.01755,                  1.889,                 7.3348,                 2.1199,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.7842,                 3.5077,                 1.7799,                0.40309,                0.10842,                 0.0413,                0.02184,                 1.8304,                 7.2402,                 1.9778,               0.001802,               0.001802,               0.001802
                      7,                  1.765,                 3.4867,                 1.7281,                0.45384,                0.05352,                 0.0243,                0.01334,                 1.9529,                 4.7373,                 2.1382,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7295,                 3.3127,                 1.6942,                0.63644,                0.04899,                0.03878,                0.01971,                 1.8392,                 3.9537,                 1.8627,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.744,                 3.1886,                 1.7168,                0.41951,                0.10163,                0.08124,                0.03386,                 1.8447,                 3.5981,                 1.8435,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6763,                 3.1353,                 1.6708,                0.21994,                0.18175,                0.08337,                0.04463,                  1.761,                 3.3168,                 1.7428,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6514,                 3.0269,                 1.6422,                0.55734,                0.09983,                0.08802,                0.04936,                 1.7349,                 2.9856,                 1.7491,               0.001604,               0.001604,               0.001604
                     12,                 1.5901,                 3.0284,                 1.5996,                0.63244,                0.09612,                0.08429,                0.04617,                 1.7676,                 2.9731,                 1.7759,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6004,                 2.9316,                 1.6065,                0.31583,                0.13785,                0.07543,                0.04034,                 1.7768,                 2.9908,                 1.7804,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5931,                 2.8821,                 1.6152,                0.56873,                0.11158,                0.14379,                0.07673,                 1.7381,                 3.0665,                 1.7679,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5649,                 2.7875,                 1.5725,                0.26183,                0.22562,                0.14751,                0.07517,                 1.7495,                 3.0181,                 1.7503,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5449,                 2.7488,                 1.5525,                0.69744,                 0.1137,                0.10635,                0.05602,                 1.7065,                 2.9923,                 1.6927,               0.001406,               0.001406,               0.001406
                     17,                  1.562,                 2.7709,                 1.5535,                0.36014,                0.14284,                0.10317,                0.06041,                 1.6906,                 2.8635,                 1.6948,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.5638,                 2.7046,                  1.548,                0.43426,                  0.173,                0.11353,                0.06156,                 1.7062,                   3.05,                 1.6914,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5255,                 2.7487,                 1.5652,                0.36079,                0.18205,                0.12377,                0.06819,                 1.6938,                 2.7473,                 1.7527,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5047,                 2.6785,                 1.5451,                 0.2444,                0.17436,                0.11866,                0.06258,                 1.6541,                 2.7054,                 1.6603,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4874,                 2.6097,                 1.5074,                0.64069,                0.15274,                0.11904,                0.06755,                 1.6405,                 2.7606,                  1.673,               0.001208,               0.001208,               0.001208
                     22,                 1.4607,                 2.5362,                 1.5092,                0.25872,                0.17036,                 0.1204,                0.07223,                 1.6397,                 2.8622,                 1.6585,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4473,                 2.5362,                 1.4923,                0.27326,                0.18813,                0.13755,                  0.069,                    1.6,                 2.7488,                 1.6198,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4034,                 2.4615,                 1.4559,                0.57744,                0.14986,                0.14205,                0.07475,                 1.6174,                 2.7369,                 1.6565,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.4316,                 2.4354,                 1.4749,                0.66744,                0.14209,                0.13213,                0.07578,                 1.6588,                 2.7561,                 1.6919,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.4408,                 2.3613,                 1.4845,                0.30622,                0.17374,                0.14485,                0.08258,                 1.6462,                  2.714,                 1.6624,                0.00101,                0.00101,                0.00101
                     27,                 1.3631,                 2.3441,                 1.4492,                 0.4319,                0.16517,                0.12653,                0.07078,                 1.6158,                 2.7786,                 1.6426,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.3488,                 2.3098,                 1.4174,                0.35693,                0.18047,                0.14573,                0.08708,                 1.5878,                 2.6138,                  1.604,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.3471,                 2.2726,                 1.4169,                0.53695,                0.16693,                0.14834,                0.08568,                 1.6197,                 2.6361,                  1.673,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.3434,                 2.2358,                 1.3912,                0.36205,                0.18561,                0.16005,                 0.0848,                 1.6291,                 2.7841,                  1.693,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.3183,                 2.2196,                 1.3905,                0.52703,                 0.1761,                0.15538,                0.08126,                 1.6592,                  2.752,                 1.6993,               0.000812,               0.000812,               0.000812
                     32,                  1.265,                 2.1598,                 1.3633,                0.30157,                0.21857,                0.16897,                 0.0911,                 1.6005,                 2.6756,                 1.6647,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.2994,                 2.0649,                  1.376,                0.49054,                0.17718,                0.19398,                0.10638,                 1.6438,                 2.6594,                 1.6588,              0.0007328,              0.0007328,              0.0007328
